pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
HD 217107 c,Radial Velocity,4270,,G8 IV,12.9,1.43E+03,-13.14279,"<div><span class=supersubNumber"">0.097540151</span><span class=""superscript"">+0.008779417</span><span class=""subscript"">-0.011171884</span></div>""",0.98
HD 27894 b,Radial Velocity,18.01939,,K2 V,14.1,,82.9023,-0.449,0.81
Kepler-50 c,Transit,9.37647,1125,,2.17,8.20E+00,-2.71492,"<div><span class=supersubNumber"">0.5358158</span><span class=""superscript"">+0.0178026</span><span class=""subscript"">-0.0157954</span></div>""",1.24
HD 233604 b,Radial Velocity,192,,K5,12.7,,-73.75055,1.75&plusmn;0.18,1.5
WD 0806-661 b,Imaging,,340,DQ,12.6,2.54E+03,,,0.62
Kepler-63 b,Transit,9.4341505,791,G5,6.11,1.20E+02,-21.72051,"<div><span class=supersubNumber"">-0.157</span> <span class=""superscript"">+0.045</span><span class=""subscript"">-0.038</span> </div>""",0.984
Kepler-77 b,Transit,3.57878087,1440,G5 V,10.761,1.37E+02,-24.7567,"<div><span class=supersubNumber"">-0.046</span> <span class=""superscript"">+0.059</span><span class=""subscript"">-0.068</span> </div>""",0.95
HAT-P-44 c,Radial Velocity,872.2,,,13,,-33.45,"<div><span class=supersubNumber"">-0.194</span> <span class=""superscript"">+0.086</span><span class=""subscript"">-0.058</span> </div>""",0.942
HATS-5 b,Transit,4.763387,1025,G,10.223,7.53E+01,5.64871,"<div><span class=supersubNumber"">-0.268</span> <span class=""superscript"">+0.031</span><span class=""subscript"">-0.033</span> </div>""",0.936
HD 10180 d,Radial Velocity,16.357,,G1 V,,3.30E+03,35.52981,"<div><span class=supersubNumber"">0.173</span><span class=""superscript"">+0.006</span><span class=""subscript"">-0.006</span></div>""",1.06
WTS-1 b,Transit,3.352057,1500,F6 V,16.7,1.27E+03,,"<div><span class=supersubNumber"">0.088424790</span><span class=""superscript"">+0.106991780</span><span class=""subscript"">-0.142280374</span></div>""",1.2
HD 11506 d,Radial Velocity,26500,,G0 V,12.3,4.07E+03,-7.53,"<div><span class=supersubNumber"">0.33684622</span><span class=""superscript"">+0.01447270</span><span class=""subscript"">-0.01204932</span></div>""",1.22
CoRoT-26 b,Transit,4.20474,1600,G5,14.12,1.65E+02,15.514,0.451,1.09
CoRoT-25 b,Transit,4.86069,1330,F9,12.11,8.58E+01,-15.416,"<div><span class=supersubNumber"">0.14100644</span><span class=""superscript"">+0.03850051</span><span class=""subscript"">-0.04224891</span></div>""",1.09
Kepler-186 b,Transit,3.8867907,571,M1,1.07,,,"<div><span class=supersubNumber"">-1.385</span> <span class=""superscript"">+0.086</span><span class=""subscript"">-0.107</span> </div>""",0.478
91 Aqr b,Radial Velocity,181.4,,K0 III,13.1,,-25.75,"<div><span class=supersubNumber"">1.6923879</span><span class=""superscript"">+0.0061718</span><span class=""subscript"">-0.0062608</span></div>""",1.4
GJ 163 b,Radial Velocity,8.63182,,M,3.25,,58.59728,"<div><span class=supersubNumber"">-1.708</span> <span class=""superscript"">+0.022</span><span class=""subscript"">-0.023</span> </div>""",0.4
Kepler-27 c,Transit,31.3309,481,,4.9,4.39E+03,,-0.3294126,0.65
Kepler-27 b,Transit,15.3348,610,,4,2.90E+03,,-0.3294126,0.65
HD 215497 c,Radial Velocity,566,,K3 V,13,1.11E+02,49.3107,-0.41,0.92
BD-06 1339 b,Radial Velocity,3.8728,,K7/M0 V,,1.52E+03,23.625,"<div><span class=supersubNumber"">-1.022</span> <span class=""superscript"">+0.043</span><span class=""subscript"">-0.048</span> </div>""",0.7
Kepler-186 d,Transit,13.342996,379,M1,1.4,,,"<div><span class=supersubNumber"">-1.385</span> <span class=""superscript"">+0.086</span><span class=""subscript"">-0.107</span> </div>""",0.478
Kepler-11 d,Transit,22.6845,653,,3.12,7.30E+00,-57.16,0.120201,0.961
Kepler-11 b,Transit,10.3039,849,,1.8,1.90E+00,-57.16,0.120201,0.961
Kepler-31 c,Transit,42.6318,615,,5.3,1.49E+03,,0.3013367,1.21
Kepler-32 c,Transit,8.7522,451,M1 V,2,1.59E+02,-32.5,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.58
Kepler-1735 b,Transit,7.71792984,502,,1.19429134,,,"<div><span class=supersubNumber"">-1.19302</span><span class=""superscript"">+0.08688</span><span class=""subscript"">-0.10872</span></div>""",0.535
HD 66141 b,Radial Velocity,480.5,,K2 III,12.8,,71.57,2.24,1.1
HD 208527 b,Radial Velocity,875.5,,M1 III,12.5,,4.79,"<div><span class=supersubNumber"">2.863219</span><span class=""superscript"">+0.017791</span><span class=""subscript"">-0.018551</span></div>""",1.6
MOA-bin-1L b,Microlensing,,,,13,1.20E+03,,,0.75
GU Psc b,Imaging,,1050,M3,14.179,3.59E+03,-1.6,"<div><span class=supersubNumber"">-1.60189</span><span class=""superscript"">+0.09476</span><span class=""subscript"">-0.12137</span></div>""",0.325
GJ 163 c,Radial Velocity,25.63058,,M,2.5,,58.59728,"<div><span class=supersubNumber"">-1.708</span> <span class=""superscript"">+0.022</span><span class=""subscript"">-0.023</span> </div>""",0.4
GJ 163 d,Radial Velocity,603.95116,,M,5.92,,58.59728,"<div><span class=supersubNumber"">-1.708</span> <span class=""superscript"">+0.022</span><span class=""subscript"">-0.023</span> </div>""",0.4
Kepler-32 d,Transit,22.7802,328,M1 V,2.7,3.99E+01,-32.5,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.58
Kepler-31 d,Transit,87.6451,484,,3.9,2.16E+03,,0.3013367,1.21
HAT-P-45 b,Transit,3.128992,1652,,15.984,2.83E+02,23.903,"<div><span class=supersubNumber"">0.400</span> <span class=""superscript"">+0.108</span><span class=""subscript"">-0.061</span> </div>""",1.259
HAT-P-44 b,Transit,4.301219,1108,,13.922,1.12E+02,-33.45,"<div><span class=supersubNumber"">-0.194</span> <span class=""superscript"">+0.086</span><span class=""subscript"">-0.058</span> </div>""",0.942
MOA-2010-BLG-073L b,Microlensing,,,,12.4,3.50E+03,,,0.16
HAT-P-27 b,Transit,3.039577,1091.99,G8,11.43,1.97E+02,-15.765,"<div><span class=supersubNumber"">-0.2692618</span><span class=""superscript"">+0.0113433</span><span class=""subscript"">-0.0145138</span></div>""",0.916
DENIS-P J082303.1-491201 b,Astrometry,246.36,,L1.5,11.9,9.06E+03,,,0.075
HIP 63242 b,Radial Velocity,124.6,,G8,12.5,,72.82379,1.630&plusmn;0.001,1.54
Kepler-31 b,Transit,20.8613,781,,5.5,3.67E+01,,0.3013367,1.21
Kepler-32 f,Transit,0.74296,1026,M1 V,0.82,9.69E+02,-32.5,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.58
HD 66428 c,Radial Velocity,10478.84437,,G8 IV (+ G),13.5,5.61E+02,43.98928,"<div><span class=supersubNumber"">0.095788085</span><span class=""superscript"">+0.013688676</span><span class=""subscript"">-0.008074904</span></div>""",1.01
Kepler-424 c,Radial Velocity,223.3,,,12.7,,,"<div><span class=supersubNumber"">-0.15</span> <span class=""superscript"">+0.06</span><span class=""subscript"">-0.07</span> </div>""",1.01
KMT-2023-BLG-1896L b,Microlensing,,,K6 V,4.19,1.64E+01,,,0.72
HD 190984 b,Radial Velocity,4885,,F8 V,13,1.14E+03,20.269,0.43,0.91
Kepler-134 c,Transit,10.105785,892,,1.26,,-27.15634,"<div><span class=supersubNumber"">0.060510487</span><span class=""superscript"">+0.011734557</span><span class=""subscript"">-0.016963447</span></div>""",0.956
Kepler-210 b,Transit,2.453234,737,M0 V,2.94,,,-0.798737,0.77
Kepler-422 b,Transit,7.8914483,1028,,12.89,1.37E+02,-11.69,"<div><span class=supersubNumber"">0.24</span> <span class=""superscript"">+0.08</span><span class=""subscript"">-0.10</span> </div>""",1.15
Kepler-426 b,Transit,3.21751883,1300,G1 V,12.22,1.08E+02,-78.835,-0.089&plusmn;0.042,0.91
Kepler-16 b,Transit,228.776,,,8.4493,1.06E+02,-33.8065,"<div><span class=supersubNumber"">-0.90300922</span><span class=""superscript"">+0.00147452</span><span class=""subscript"">-0.00147957</span></div>""",0.6897
KOI-94 d,Transit,22.342989,806,,11.27,1.06E+02,,"<div><span class=supersubNumber"">0.479</span> <span class=""superscript"">+0.079</span><span class=""subscript"">-0.097</span> </div>""",1.277
KOI-94 b,Transit,3.743208,1486,,1.71,1.05E+01,,"<div><span class=supersubNumber"">0.479</span> <span class=""superscript"">+0.079</span><span class=""subscript"">-0.097</span> </div>""",1.277
Kepler-35 b,Transit,131.458,,,8.16,4.04E+01,,"<div><span class=supersubNumber"">-0.027</span> <span class=""superscript"">+0.044</span><span class=""subscript"">-0.049</span> </div>""",0.8877
HD 103774 b,Radial Velocity,5.8881,,F5 V,13.3,,-3.049,"<div><span class=supersubNumber"">0.544</span> <span class=""superscript"">+0.036</span><span class=""subscript"">-0.039</span> </div>""",1.335
HD 109271 b,Radial Velocity,7.8543,,G5 V,4.31,,-4.903,"<div><span class=supersubNumber"">0.301</span> <span class=""superscript"">+0.061</span><span class=""subscript"">-0.071</span> </div>""",1.047
Kepler-415 c,Transit Timing Variations,8.708,543,,2.01,,,-0.805041,0.67
HD 50554 b,Radial Velocity,1293,,F8 V,12.8,1.86E+03,-3.96032,0.143&plusmn;0.063,1.04
Kepler-428 b,Transit,3.52563254,1070,K1 V,12.11,4.04E+02,-21.302,-0.39&plusmn;0.05,0.87
Kepler-425 b,Transit,3.79701816,1070,K1 V,10.962,7.95E+01,-45.404,-0.323&plusmn;0.031,0.93
WASP-70 A b,Transit,3.7130203,1387,G4,13.047,1.88E+02,-65.38974,"<div><span class=supersubNumber"">0.16239971</span><span class=""superscript"">+0.00733540</span><span class=""subscript"">-0.00746146</span></div>""",1.106
KOI-94 e,Transit,54.32031,584,,6.56,3.50E+01,,"<div><span class=supersubNumber"">0.479</span> <span class=""superscript"">+0.079</span><span class=""subscript"">-0.097</span> </div>""",1.277
Kepler-396 c,Transit,88.505,390,,5.3,1.79E+01,,"<div><span class=supersubNumber"">-0.1346114</span><span class=""superscript"">+0.0115050</span><span class=""subscript"">-0.0146591</span></div>""",0.85
MOA-2010-BLG-477L b,Microlensing,,,,13.6,4.80E+02,,,0.67
HD 183263 b,Radial Velocity,624.87404,,G2 IV,13.1,,-50.33943,"<div><span class=supersubNumber"">0.25025455</span><span class=""superscript"">+0.01011802</span><span class=""subscript"">-0.01321172</span></div>""",1.06
HD 166724 b,Radial Velocity,5144,,K0 IV-V,13,1.21E+03,-17.6187,-0.509,0.81
Kepler-122 f,Transit Timing Variations,56.268,543,,1.75,3.60E+01,,0.2699321,1.03
Kepler-96 b,Transit,16.2385,711,,2.67,8.46E+00,-47.12011,"<div><span class=supersubNumber"">-0.05230612</span><span class=""superscript"">+0.01560883</span><span class=""subscript"">-0.01274652</span></div>""",1
CoRoT-23 b,Transit,3.6313,1660,G0 V,11.77,8.90E+02,-35.182,"<div><span class=supersubNumber"">0.08677648</span><span class=""superscript"">+0.04002907</span><span class=""subscript"">-0.04409664</span></div>""",1.14
BD+20 274 b,Radial Velocity,578.2,,K5 III,13,,8.38657,1.96&plusmn;0.18,0.8
HD 219415 b,Radial Velocity,2093.3,,K0 III,13.8,,-83.37358,0.62&plusmn;0.15,1
HD 150706 b,Radial Velocity,5894,,G0 V,13.3,7.72E+02,-17.2094,"<div><span class=supersubNumber"">0.031749746</span><span class=""superscript"">+0.000597798</span><span class=""subscript"">-0.000598622</span></div>""",1.17
OGLE-2011-BLG-0251L b,Microlensing,,,M,14.2,1.70E+02,,,0.26
Kepler-414 c,Transit Timing Variations,7.171,890,,3.01,2.99E+01,-28.2,"<div><span class=supersubNumber"">-0.1691674</span><span class=""superscript"">+0.0137977</span><span class=""subscript"">-0.0152137</span></div>""",0.89
HD 3167 e,Radial Velocity,96.63,374.8,K0 V,2.83,,19.531,"<div><span class=supersubNumber"">-0.270</span><span class=""superscript"">+0.024</span><span class=""subscript"">-0.026</span></div>""",0.837
Kepler-42 c,Transit,0.45328509,720,M,0.73,6.03E+01,-84.48,-2.620&plusmn;0.300,0.13
Kepler-33 c,Transit,13.17562,1009,,3.2,3.90E-01,14.09,0.556&plusmn;0.080,1.291
Kepler-641 b,Transit,9.48961571,926,,1.85,,,0.390023,1.02
Kepler-410 A b,Transit,17.833648,866,,2.838,,-40.995,"<div><span class=supersubNumber"">0.435</span> <span class=""superscript"">+0.028</span><span class=""subscript"">-0.030</span> </div>""",1.214
Kepler-314 c,Transit,5.960392,890,,2.9,,-21.97649,"<div><span class=supersubNumber"">-0.2256942</span><span class=""superscript"">+0.0200200</span><span class=""subscript"">-0.0120466</span></div>""",0.99
HD 168863 b,Radial Velocity,14773.93272,,,12.7,2.15E+03,,"<div><span class=supersubNumber"">-0.5009838</span><span class=""superscript"">+0.0165435</span><span class=""subscript"">-0.0192199</span></div>""",0.8
HD 89839 b,Radial Velocity,3441,,F7 V,12.9,1.59E+03,,"<div><span class=supersubNumber"">0.3747887</span><span class=""superscript"">+0.0100287</span><span class=""subscript"">-0.0212507</span></div>""",1.21
Kepler-415 b,Transit Timing Variations,4.176,694,,1.21,1.20E+02,,-0.805041,0.67
Kepler-338 e,Transit Timing Variations,9.341,1143,,1.56,8.50E+00,-15.36241,"<div><span class=supersubNumber"">0.5857000</span><span class=""superscript"">+0.0173875</span><span class=""subscript"">-0.0204267</span></div>""",1.14
Kepler-33 e,Transit,31.7844,752,,4.02,5.57E+00,14.09,0.556&plusmn;0.080,1.291
Kepler-33 b,Transit,5.66793,1336,,1.74,,14.09,0.556&plusmn;0.080,1.291
Kepler-46 c,Transit Timing Variations,57.011,455,,13.5,1.19E+02,,"<div><span class=supersubNumber"">-0.255</span> <span class=""superscript"">+0.057</span><span class=""subscript"">-0.058</span> </div>""",0.902
Kepler-318 b,Transit,4.662715,1039,,4.71,,,"<div><span class=supersubNumber"">0.0039428136</span><span class=""superscript"">+0.0246053818</span><span class=""subscript"">-0.0217298524</span></div>""",1.073
Kepler-314 b,Transit,2.461069,1195,,0.83,,-21.97649,"<div><span class=supersubNumber"">-0.2256942</span><span class=""superscript"">+0.0200200</span><span class=""subscript"">-0.0120466</span></div>""",0.99
Kepler-46 b,Transit,33.60134,543,,9.057,1.91E+03,,"<div><span class=supersubNumber"">-0.255</span> <span class=""superscript"">+0.057</span><span class=""subscript"">-0.058</span> </div>""",0.902
USco CTIO 108 b,Imaging,,,M7,12.3,4.45E+03,,,0.06
Kepler-130 c,Transit,27.50868,683,,2.9,,21.91547,"<div><span class=supersubNumber"">0.155</span> <span class=""superscript"">+0.088</span><span class=""subscript"">-0.102</span> </div>""",1
Kepler-418 b,Transit,86.67856,434,,13.45,3.50E+02,-18.452,0.1111442,0.98
Kepler-33 f,Transit,41.02902,691,,4.46,9.60E+00,14.09,0.556&plusmn;0.080,1.291
Kepler-33 d,Transit,21.77596,853,,5.35,3.91E+00,14.09,0.556&plusmn;0.080,1.291
HD 155358 c,Radial Velocity,391.9,,G0,13.9,,-9.07461,"<div><span class=supersubNumber"">0.29949102</span><span class=""superscript"">+0.00080851</span><span class=""subscript"">-0.00081002</span></div>""",0.92
Kepler-52 b,Transit,7.8773565,553,M0 V,2.1,1.35E+02,,"<div><span class=supersubNumber"">-0.996</span><span class=""superscript"">+0.049</span><span class=""subscript"">-0.055</span></div>""",0.54
Kepler-58 b,Transit,10.2184954,920,,2.78,3.55E+01,,-0.004220635,0.95
HD 183263 c,Radial Velocity,4667.97841,,G2 IV,12.5,2.96E+03,-50.33943,"<div><span class=supersubNumber"">0.25025455</span><span class=""superscript"">+0.01011802</span><span class=""subscript"">-0.01321172</span></div>""",1.06
HD 187123 b,Radial Velocity,3.0965828,,G3 V,14.2,,-16.986,"<div><span class=supersubNumber"">0.12712586</span><span class=""superscript"">+0.01214434</span><span class=""subscript"">-0.01023230</span></div>""",1.04
V0391 Peg b,Pulsation Timing Variations,1170,,sdBV,13.1,,,"<div><span class=supersubNumber"">1.4328680</span><span class=""superscript"">+0.1256130</span><span class=""subscript"">-0.1774429</span></div>""",0.5
Kepler-62 e,Transit,122.3874,270,K2 V,1.61,3.60E+01,,"<div><span class=supersubNumber"">-0.678</span> <span class=""superscript"">+0.040</span><span class=""subscript"">-0.043</span> </div>""",0.69
HD 197037 b,Radial Velocity,1035.7,,F7 V,13.9,,9.08705,"<div><span class=supersubNumber"">0.23857324</span><span class=""superscript"">+0.00064363</span><span class=""subscript"">-0.00064461</span></div>""",1.11
CFBDSIR J145829+101343 b,Imaging,10037.5,370,,12.4,3.34E+03,,,0.021
Kepler-269 b,Transit,5.326718,1007,,2.47,,,0.368365,0.92
Kepler-300 c,Transit,40.714955,516,,2.25,,,0.3399354,1.07
Kepler-149 d,Transit,160.018032,306,,3.96,,,-0.1192896,1.013
Kepler-124 d,Transit,30.950851,428,,1.11,,,-0.467369,0.706
Kepler-276 d,Transit,48.648,489,,2.8,1.63E+01,,-0.08947559,1.1
Kepler-114 c,Transit,8.041,507,M0 V,1.6,2.80E+00,,-0.6853034,0.56
Kepler-297 b,Transit,38.871826,509,,2.87,4.85E+01,,-0.09607783,0.927
WASP-83 b,Transit,4.971252,1120,G8,11.65736,9.53E+01,31.549,"<div><span class=supersubNumber"">-0.04966100</span><span class=""superscript"">+0.00801815</span><span class=""subscript"">-0.00816897</span></div>""",1.11
WASP-89 b,Transit,3.3564227,1120,K3,11.65736,1.88E+03,21.088,"<div><span class=supersubNumber"">-0.34333456</span><span class=""superscript"">+0.00754102</span><span class=""subscript"">-0.00767428</span></div>""",0.92
Kepler-402 c,Transit,6.124821,1140,,1.56,,4.3363,"<div><span class=supersubNumber"">0.20349687</span><span class=""superscript"">+0.01890042</span><span class=""subscript"">-0.01776724</span></div>""",1.072
Kepler-157 b,Transit,1.732342,1546,,1.32,,,0.09117049,0.95
HATS-6 b,Transit,3.3252725,712.8,M1 V,11.186582,1.01E+02,,"<div><span class=supersubNumber"">-1.099833</span><span class=""superscript"">+0.006236</span><span class=""subscript"">-0.006327</span></div>""",0.574
Kepler-450 c,Transit,15.413135,944,,2.62,1.25E+01,-16.40852,"<div><span class=supersubNumber"">0.5540257</span><span class=""superscript"">+0.0202800</span><span class=""subscript"">-0.0175732</span></div>""",1.19
Kepler-81 c,Transit,12.04,502,M0 V,2.37,4.30E+00,,"<div><span class=supersubNumber"">-0.889</span><span class=""superscript"">+0.045</span><span class=""subscript"">-0.050</span></div>""",0.64
Kepler-412 b,Transit,1.7208604,1850,G3 V,15.031269,2.99E+02,-54.576,0.268538,1.167
Kepler-92 b,Transit,13.749,975,,3.51,6.43E+01,-41.30767,"<div><span class=supersubNumber"">0.5581815</span><span class=""superscript"">+0.0193701</span><span class=""subscript"">-0.0144640</span></div>""",1.21
Kepler-288 c,Transit,19.305772,815,,2.85,,,0.05605371,0.842
Kepler-295 b,Transit,12.645164,741,,1.22,,,"<div><span class=supersubNumber"">0.62949016</span><span class=""superscript"">+0.04576408</span><span class=""subscript"">-0.05116076</span></div>""",0.89
Kepler-178 d,Transit,96.678988,392,,3.95,,,-0.20778,0.852
Kepler-44 b,Transit,3.2467293,1544,G2 IV,12.22,3.18E+02,-35.892,0.3474262,1.12
Kepler-41 b,Transit,1.8555582,1790,G2 V,14.46,1.78E+02,-27.066,0.261614,1.15
Kepler-450 d,Transit,7.51464,1199,,0.837,1.76E+01,-16.40852,"<div><span class=supersubNumber"">0.5540257</span><span class=""superscript"">+0.0202800</span><span class=""subscript"">-0.0175732</span></div>""",1.19
POTS-1 b,Transit,3.1606296,,K5 V,10.548,7.34E+02,-16.234,"<div><span class=supersubNumber"">-1.086895</span><span class=""superscript"">+0.104670</span><span class=""subscript"">-0.138189</span></div>""",0.695
Kepler-350 d,Transit,26.136,782,,2.8,1.49E+01,,0.4284238,1
Kepler-238 f,Transit,50.447,568,,2,1.35E+01,,0.4304824,1.06
Kepler-287 c,Transit,44.851896,513,K7 V,3.26,6.60E+01,,-0.1343781,0.963
Kepler-285 b,Transit,2.633867,1131,,1.34,,,-0.279233,0.915
Kepler-181 b,Transit,3.137873,1041,,1.27,,,-0.3787768,0.81
